Date : 2022-05-31 21:51:02
Directory : c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project
Total : 98 files,  19111 codes, 12123 comments, 3940 blanks, all 35174 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\experimental                                                                                                                                                            |          1 |         19 |          4 |          4 |         27 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\export                                                                                                                                                                  |          1 |         15 |          7 |          4 |         26 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\inputs                                                                                                                                                                  |          1 |          8 |          4 |          4 |         16 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\tpu                                                                                                                                                                     |          2 |         19 |          8 |          8 |         35 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\tpu\experimental                                                                                                                                                        |          1 |          7 |          4 |          4 |         15 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2                                                                                                                                                                                   |          6 |         84 |         19 |         10 |        113 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator                                                                                                                                                                         |          4 |         82 |         15 |          7 |        104 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\experimental                                                                                                                                                            |          1 |         13 |          4 |          2 |         19 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\export                                                                                                                                                                  |          1 |         10 |          7 |          2 |         19 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\inputs                                                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned                                                                                                                                                                                    |         21 |      8,972 |      5,919 |      1,460 |     16,351 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer                                                                                                                                                                   |          4 |        439 |        307 |         66 |        812 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python                                                                                                                                                            |          3 |        434 |        288 |         64 |        786 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python\utils                                                                                                                                                      |          2 |        434 |        288 |         63 |        785 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\.idea\workspace.xml                                                                  | XML      |         53 |          0 |          0 |         53 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\Connect4.py                                                                      | Python   |        -55 |          0 |          0 |        -55 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\CountingInARow.py                                                                | Python   |         60 |         20 |         10 |         90 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\NeuralNetwork.py                                                                 | Python   |        111 |        149 |         39 |        299 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\Pyboard.py                                                                       | Python   |        186 |          2 |         36 |        224 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\TrainNN.py                                                                       | Python   |         99 |         10 |         26 |        135 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\VisualGame.py                                                                    | Python   |        142 |         19 |         36 |        197 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\board.py                                                                         | Python   |        -32 |          0 |        -11 |        -43 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\deepQ.py                                                                         | Python   |         72 |         63 |         24 |        159 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\main.py                                                                          | Python   |         -7 |         16 |          3 |         12 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\minimax.py                                                                       | Python   |         41 |          2 |          8 |         51 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\parse_data.py                                                                    | Python   |         41 |          0 |         14 |         55 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\test_file_write.py                                                               | Python   |         11 |          0 |          7 |         18 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\textGame.py                                                                      | Python   |         65 |          0 |         18 |         83 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\mouseinfo\__init__.py                                                                  | Python   |        563 |        172 |        167 |        902 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\mouseinfo\__main__.py                                                                  | Python   |          3 |          0 |          2 |          5 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\__init__.py                                                                  | Python   |      1,039 |        839 |        280 |      2,158 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\__main__.py                                                                  | Python   |          2 |          0 |          0 |          2 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_java.py                                                           | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_osx.py                                                            | Python   |        329 |         45 |         61 |        435 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_win.py                                                            | Python   |        295 |        209 |         65 |        569 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_x11.py                                                            | Python   |        210 |         46 |         45 |        301 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pygetwindow\__init__.py                                                                | Python   |        229 |         40 |         81 |        350 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pygetwindow\_pygetwindow_macos.py                                                      | Python   |         90 |         31 |         54 |        175 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pygetwindow\_pygetwindow_win.py                                                        | Python   |        172 |        106 |         74 |        352 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pymsgbox\__init__.py                                                                   | Python   |        256 |         85 |        102 |        443 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pymsgbox\_native_win.py                                                                | Python   |        113 |         22 |         19 |        154 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyperclip\__init__.py                                                                  | Python   |        426 |        170 |        140 |        736 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyperclip\__main__.py                                                                  | Python   |         17 |          0 |          1 |         18 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyrect\__init__.py                                                                     | Python   |        870 |        451 |        142 |      1,463 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyscreeze\__init__.py                                                                  | Python   |        391 |        156 |         94 |        641 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pytweening\__init__.py                                                                 | Python   |        210 |        312 |         73 |        595 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\__init__.py                                                       | Python   |          7 |          4 |          4 |         15 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\__init__.py                                                  | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\__init__.py                                               | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\__init__.py                                     | Python   |         66 |          4 |          4 |         74 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\experimental\__init__.py                        | Python   |         19 |          4 |          4 |         27 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\export\__init__.py                              | Python   |         15 |          7 |          4 |         26 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\inputs\__init__.py                              | Python   |          8 |          4 |          4 |         16 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\tpu\__init__.py                                 | Python   |         12 |          4 |          4 |         20 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\tpu\experimental\__init__.py                    | Python   |          7 |          4 |          4 |         15 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\v1.py                                                     | Python   |          7 |          4 |          4 |         15 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\__init__.py                                               | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\__init__.py                                     | Python   |         59 |          4 |          2 |         65 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\experimental\__init__.py                        | Python   |         13 |          4 |          2 |         19 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\export\__init__.py                              | Python   |         10 |          7 |          2 |         19 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\inputs\__init__.py                              | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\v2.py                                                     | Python   |          2 |          4 |          2 |          8 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\__init__.py                                                | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\__init__.py                                      | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\__init__.py                                  | Python   |          7 |          4 |          4 |         15 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\__init__.py                              | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\__init__.py                    | Python   |         66 |          4 |          4 |         74 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\experimental\__init__.py       | Python   |         19 |          4 |          4 |         27 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\export\__init__.py             | Python   |         15 |          7 |          4 |         26 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\inputs\__init__.py             | Python   |          8 |          4 |          4 |         16 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\tpu\__init__.py                | Python   |         12 |          4 |          4 |         20 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\tpu\experimental\__init__.py   | Python   |          7 |          4 |          4 |         15 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\v1.py                                    | Python   |          7 |          4 |          4 |         15 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\__init__.py                              | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\__init__.py                    | Python   |         59 |          4 |          2 |         65 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\experimental\__init__.py       | Python   |         13 |          4 |          2 |         19 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\export\__init__.py             | Python   |         10 |          7 |          2 |         19 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\inputs\__init__.py             | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\v2.py                                    | Python   |          2 |          4 |          2 |          8 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\__init__.py                               | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\baseline.py                               | Python   |        242 |        353 |         58 |        653 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\boosted_trees.py                          | Python   |      1,324 |        863 |        208 |      2,395 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\boosted_trees_utils.py                    | Python   |         50 |         27 |         18 |         95 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\dnn.py                                    | Python   |        562 |        576 |         88 |      1,226 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\dnn_linear_combined.py                    | Python   |        545 |        528 |         74 |      1,147 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\dnn_testing_utils.py                      | Python   |      1,522 |        410 |        207 |      2,139 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\head.py                                   | Python   |      1,051 |        560 |        103 |      1,714 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\kmeans.py                                 | Python   |        175 |        264 |         41 |        480 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear.py                                 | Python   |        719 |        811 |        143 |      1,673 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\__init__.py              | Python   |          5 |         19 |          2 |         26 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python\__init__.py       | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python\utils\__init__.py | Python   |          0 |          0 |          1 |          1 |
| c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python\utils\sdca_ops.py | Python   |        434 |        288 |         62 |        784 |
